orig,kr
クルシエイト・ブレイズ,크루시에이트 블레이즈
火属性ダメージ(特大)/確率で自分に再攻撃効果,화속성 데미지(특대) / 확률로 자신에게 재공격 효과
英霊の攻刃,영령의 공인
ヴェローナを護る者,베로나를 지키는 자
シングルアタック発動時、自分にダブルアタック確率UP　◆メイン装備時/主人公のみ,싱글 어택시 자신에게 더블어택 확률 UP　◆메인 장비시 / 주인공만


極神剣,극신검
大いなる守護者の揺るぐことなき強き意志は、空に害なす全てを切り裂く刃となって顕現する。剣は空の生あるもの全てを守護し、永遠の安寧の日々を授ける。
絶対魔滅神域,절대마멸신역
土属性ダメージ(特大)/土属性追加ダメージ/味方全体の攻防UP,토속성 데미지(특대) / 토속성 추가 데미지 / 아군 전체의 공방 UP


ライズ・オブ・ジャスティス,라이즈 오브 저스티스
"其は善意の""正義""より齎されし剣。曇りなき刀身は平等を与え、争う者に厳正を強いる。"
断罪の剣,단죄의 검
水属性キャラの攻撃力上昇(特大)/敵の強化効果を無効化するアビリティを使用時にHP回復　◆メイン装備時,수속성 캐릭터의 공격력 상승(특대) / 적의 강화 효과를 무효화하는 어빌리티 사용시 HP 회복　◆메인 장비시


ワールド・エンド,월드 엔드
籠の中から解き放たれた雛鳥は、愛を憎と成し、昏き焔を灯らせ羽搏く。復讐に取り憑かれ、曇り淀んだその瞳では、傍らの光にすら気付けないとも知らずに。
ヴェルヌス,베르누스
土属性ダメージ(特大)/土属性キャラにカウンター効果(被ダメージ/*回),토속성 데미지(특대) / 토속성 캐릭터에게 카운터 효과(*회)


ラブリーエース,러블리 에이스
魔法の力で空の秩序を守る、魔法提督ラブリー★モニカが携える剣。ラブリーでキュアリーでブレイブリーな意匠は、全空の少女の心を掴んで離さない。
土属性ダメージ(特大)/味方全体の奥義ゲージUP(**%),토속성 데미지(특대) / 아군 전체의 오의 게이지 UP(**%)


プロトタイプ・リブート,프로토타입・리부트

機神共鳴,기신공명
武器属性ダメージ(特大)/自分にマシンセルを*つ付与
タクティカル・シールドの性能UP　◆メイン装備時
マシンセルの数に応じて自属性追撃効果　◆メイン装備時/主人公のみ


ブレイブソード,브레이브 소드
ヨダルラーハのアドバイスを元にファラがデザインし、ユーリが仕上げた剣。ファラとユーリの新調した鎧と同質の素材ゆえ軽量ながら硬度に優れており、風を裂く神速の一太刀を生み出す。
ディバイド・エッジ
光属性ダメージ(特大)/自分の攻防UP(累積)


エムブラスク・デミクロン,엠블라스크 데미클론
イルザ隊制式装備候補のひとつ。エムブラスクの解析の過程で作られた剣。不屈の闘志は眠れる力を呼び醒まし、反逆の道標となる。死の淵においてなお活路を見出し、修羅を思わせる奮迅で血煙を巻き上げる。
デュプリケイション・レイド,듀플리케이션 레이드
土属性ダメージ(特大)/味方全体にカウンター効果(被ダメージ/*回),토속성 데미지(특대) / 아군 전체에게 카운터 효과(*회)


ドンパッチソード,돈벼락 소드
長ネギにして伝説の剣。使い手がこれを何と認識するか（この長ネギが剣であるか斧であるか、など）によってその性能は変化し、また、誰に握られるかによっても、ドンパッチソードの纏うオーラが変化するなど、ただの長ネギと切って捨てることもできない不思議なネギである。その出自には伝説の剣とされる中でも殊更有名な「エクスカリバー」との共通点もあることから、やはりこのドンパッチソードは伝説的な力を宿しているとみて間違いはないのだろう。
伝説のドンパッチソード,전설의 돈벼락 소드
これさえありゃこっちのもんだぜ!!!
光属性キャラの攻撃力上昇(大)<br>◆月曜日のみ


!포말몽환
その一振りは夢か現か。忍ぶ想いは流転の刀身を映し出し、束の間の空蝉に儚き露の身を捧げる。
胡蝶玖刀
風属性ダメージ(特大)/味方全体に風属性追撃効果


ライトニング・シュヴァルツ

リバイバル・ブリッツ
闇属性ダメージ(特大)/感電Lvが*上昇(最大**)/光属性攻撃DOWN


烈弩宇威愚魂
その名は烈弩宇威愚魂（レッドウイングソウル）。大切なモノを守るため、少年達は拳に気合いを込めて決戦の地へ赴く。プライドを賭け、魂と執念のぶつかり合う夜に、翻る深紅の旗が闇を裂く。
烈弩宇威愚武生須斗
土属性ダメージ(特大)/自分に高揚効果
本気の攻刃
ツッパリの極意


ヴィヒタ
爽やかな香りのする枝葉を束ねたもの。サウナで火照った体をこれで叩くと、血行促進、殺菌保湿作用により肌ツヤが増すと言われている。またサウナにつるせば優しい森の香りが広がり、サウナー達の心を癒す。
ウィスキング
風属性ダメージ(特大)/自分のHP回復/弱体効果を*つ回復
白樺の攻刃
サウナのお供
通常攻撃時に確率で自分のHP回復/弱体効果を*つ回復　◆メイン装備時/主人公のみ


セ・ラ・ヴィ
人生に迷うのもまた一興。進むべき道が見えなくなったら一回座って、ウマいものでも摘まみながらくだらないことを語らうといい。そんな他愛ない時間もまたお前の人生だ。
人生を変える一杯
風属性ダメージ(特大)/暗闇効果/魅了効果


コールブランド
その輝きは王たる資質を問う。選ばれし剣を手に民を導き、切り拓いた未来に待つのは誉れか、汚名か。
カリブルヌス
光属性ダメージ(特大)/味方全体にストレングス効果,광속성 데미지(특대) / 아군 전체에게 스트렝스 효과


!단검
ベガルタ,베갈타
戦いにおいて最も強靭な武器は闘争心そのものであり、折れぬ心は例え刃を失おうとも勝利を導く。,"전투에서 가장 강인한 무기는 투쟁심 그 자체이며, 꺾이지 않는 마음은 설령 칼을 잃더라도 승리로 이끈다"
時雨,시우 (時雨)
闇属性ダメージ(特大)/ブレイク時攻撃力UP,암속성 데미지(특대) / 브레이크시 공격력 UP


不死鳥の嘴刃,불사조의 칼날부리
フェニックスの鋭利な嘴の欠片を、特殊な銑鉄に混ぜ込んで鋳造された短剣。多大なる魔力が秘められている。,피닉스의 예리한 부리 조각을 특수한 철에 섞어 만든 단검。엄청난 마력이 숨겨져 있다
真・降焔,진・강염
火属性ダメージ(特大)/自分のHP回復,화속성 데미지(특대) / 자신의 HP 회복


ネフティスクリス,네프티스 크리스
ネフティスの巣に隠されていた秘剣のひとつ。古代技術の粋を集めて作られた剣は人智を超えた魔力を秘めている。,네프티스의 보금자리에 감춰져 있던 비검 중 하나。고대 기술의 정수를 모아 만든 검은 인지를 초월한 마력을 지니고 있다
ヘウト・レクイエム,헤우트 레퀴엠
風属性ダメージ(特大)/トリプルアタック確率UP,풍속성 데미지(특대) / 트리플 어택 확률 UP


カルンウェナン,카른웨난
祝福されし王が懐に忍ばせし短剣。その白く輝く刃には、邪なる者を一振りで両断した逸話が残る。,축복받은 왕이 품에 숨긴 단검。그 희고 빛나는 칼날에는 사악한 것을 단번에 양단한 일화가 남아있다
ヘキセフォールダウン,헥세 폴다운


ダイヤモンドエッジ,다이아몬드 엣지
レ・フィーエの故郷、宝石境に伝わる秘宝のひとつ。王族を守り続けた懐剣である。この世で最も硬い鉱石で作られた刃を防ぐ手段は存在しない。,레 피에의 고향인 보석경에서 전해지는 비보 중 하나로 왕족을 수호해온 단도이다。이 세상에서 가장 단단한 광석으로 만들어진 칼날을 막을 수 있는 방법은 존재하지 않는다


四天刃,사천인
柄に煌めくは世界を象る四つの輝き。世界を象徴する刃はいつの世にも、流される鮮血と共に支配者の手にあった。,칼 자루에서 빛나는 것은 세계를 상징하는 네 개의 빛。세계를 상징하는 칼날은 흐르는 선혈과 함께 지배자의 손에 들려있었다
四天洛往斬,사천낙왕참


世界樹の雫刃・マグナ,세계수의 영인・마그나
創世樹がひとりの騎空士に刃を託した。刻んだ一閃を中心に奔流する生命は、周囲を覆い変貌させる。,창세수가 어느 기공사에게 검을 맡겼다。검의 궤적을 중심으로 분류하는 생명은 주변을 뒤덮고 변모시킨다


レヴィアンゲイズ・マグナ,레비안 게이즈・마그나
艶めく刀身は立ち塞がる全てを切り刻み、戦場に残す傷跡は大地を抉る激流を彷彿とさせる。,푸른 빛의 칼날은 가로막는 모든 것을 조각낸다。전장에 남은 흉터는 대지를 도려내는 격류를 방불케 한다
水鏡,수경 (水鏡)
水属性ダメージ(特大)/ダメージ反射(*回),수속성 데미지(특대) / 데미지 반사(*회)


ヘルウォードダガー,헬워드 대거
その柄は冥府に君臨する三つ首の監視者を象り、その刃は死人を縛る畏怖をそのままに魂をも切り裂く。,칼 자루는 명부에 군림하는 머리 셋의 감시자를 나타내며 칼날은 망자를 포박해 영혼을 베어낸다
ヘルウォード・ダムネーション,헬워드 댐네이션


雷公刃ユピテル,뇌공인 유피테르
その一閃は暗雲を裂き、軌跡に迸る百雷は空を震わせる轟音と共に、立ち塞がる全てを眩い光の中に消し去る。,"그 일섬은 먹구름을 가르고, 궤적을 따라 솟구치는 번개는 굉음과 함께 가로막는 모든 것을 눈부신 빛 속으로 지워 버린다"
ライトニングバニッシュ,라이트닝 배니시
大胆不敵,대담무쌍
HPが少ないほど攻撃力が上昇(小)　◆主人公のみ,HP가 적을수록 공격력 상승(소)<br>◆ 주인공만


コムラビ,콤라비

キル,킬


トリック・オア・トリート,트릭 오어 트릿
宴の王たる迷い人を模した短剣は淡い輝きに刃を染める。内には境界の狭間にしか存在し得ない、孤独な炎が揺らめく。,축제의 왕인 해매는 자를 본 따 만든 단검。칼날은 희미하게 빛나고 장식 내부에서는 경계의 틈새에서만 존재하는 고독한 불꽃이 일렁인다


霧氷剣ペルソス,무빙검 페르소스
凍てついた刀身を抜けば戦場の空気を一変させる。霧氷を纏い全てを切り裂き打ち砕く様は、さながら氷獄の爪である。,얼어붙은 검을 뽑으면 전장의 공기가 순식간에 변한다。무빙을 휘감아 모든 것을 갈가리 찢어버리는 그 모습은 흡사 빙옥의 손톱과도 같다
白宝刃,백보인 (白宝刃)
水属性ダメージ(特大)/ダブルアタック確率UP,수속성 데미지(특대) / 더블어택 확률 UP
忠義の瞬刃,충의의 쾌검
主人公のみダブルアタック確率上昇(特大),주인공만 더블어택 확률 상승(특대)


四天刃・真,사천인・진
柄に輝く宝珠の真意は平和と犠牲。天に掲げられし血塗りの刃は、幾万の躯で平穏の礎を築き、その価値を世界に知らしめる。,검에 박힌 빛나는 보주의 의미는 평화와 희생。피로 물든 칼은 수많은 사체들로 평온의 초석을 다지고 그 가치를 세계에 알린다
四天洛往斬＋,사천낙왕참＋
光属性ダメージ(特大)/味方全体の連続攻撃確率UP,광속성 데미지(특대) / 아군 전체의 연속공격 확률 UP


四天刃・焔,사천인・염
火属性ダメージ(特大)/味方全体の連続攻撃確率UP,화속성 데미지(특대) / 아군 전체의 연속공격 확률 UP

四天刃・雪,사천인・설
水属性ダメージ(特大)/味方全体の連続攻撃確率UP,수속성 데미지(특대) / 아군 전체의 연속공격 확률 UP

四天刃・界,사천인・계
土属性ダメージ(特大)/味方全体の連続攻撃確率UP,토속성 데미지(특대) / 아군 전체의 연속공격 확률 UP

四天刃・凪,사천인・지
風属性ダメージ(特大)/味方全体の連続攻撃確率UP,풍속성 데미지(특대) / 아군 전체의 연속공격 확률 UP

四天刃・煌,사천인・황

四天刃・煉,사천인・연
闇属性ダメージ(特大)/味方全体の連続攻撃確率UP,암속성 데미지(특대) / 아군 전체의 연속공격 확률 UP


イペタム,이페탐
生きとし生ける全てを無価値と断ずる非情な心に短剣は呼応し、真なる姿を解放する。殺戮の術を継受する刃の前では、星の獣ですら玩具に過ぎない。,살아 숨쉬는 모든 것이 무가치하다고 단정하는 비정한 마음에 단검이 호응해 진정한 모습을 해방한다。살육의 기술을 전수하는 칼 앞에서는 별의 짐승조차 장난감일 뿐이다
カウント・ゼロ,카운트 제로
混沌より出ずる暴食,혼돈에서 나오는 폭식
アビリティ命中確率UP,어빌리티 명중률 UP
殺業の凶刃,살업의 흉인
ディレイのダメージUP,딜레이의 데미지 UP


ファウスト,파우스트
真理を知り尽くすも、更なる謎を求める渇きに短剣は呼応し、真なる姿を解放する。切り結ぶ傷は創世の真理を暴いて自在に改変し、至高の謎を無限に生み出す。,진리를 깨우치려고 더 많은 신비를 갈구하는 갈증에 단검이 호응해 진정한 모습을 해방한다。격렬한 싸움으로 입은 상처는 창세의 진리로 자유롭게 개변하고 최고의 신비를 무한히 창조한다
コズミキコニス,코스미키 코누스
森羅万象の理,삼라만상의 이치
士気向上の効果アップ,사기 향상의 효과 상승
禁忌の錬成,금기된 연성
味方全体のアビリティ貢献度UP,아군 전체의 어빌리티 공헌도 UP


バハムートダガー・ノヴム,바하무트 대거・노붐
創世の龍の堅牢な牙を象り、畏怖の念を込めて造られた短剣。大いなる力を集約した一閃は運命の螺旋を断ち斬り、犠牲者の存在した証すらも残さない。,"창세의 용의 견고한 송곳니에 경외심을 담아 만든 단검。위대한 힘을 집약한 일섬은 운명의 나선을 끊고, 베어낸 것이 존재했었다는 사실조차 남기지 않는다"
闇属性ダメージ(特大)/ダブルアタック確率UP,암속성 데미지(특대) / 더블어택 확률 UP
ヒュムアニムス・ウィス,흄 아니무스・위스
ヒューマン族の攻撃力上昇,휴먼의 공격력 상승


四天刃・紅天,사천인・홍천
四天洛往斬＋＋,사천낙왕참＋＋

四天刃・蒼天,사천인・창천
四天刃・疾天,사천인・질천
四天刃・轟天,사천인・굉천
四天刃・白天,사천인・백천
四天刃・黒天,사천인・흑천


フローレンベルク,플로렌베르크
薄紅に染まる艶麗の刃は仄かに輝き、振えば赤き一閃を空に刻む。刻まれた軌跡は桜花舞い散らすが如く、愛らしい火花は劫火を熾す。,연분홍빛깔로 물든 칼날은 은은히 빛나며 휘두르면 붉은 일섬을 하늘에 새긴다。새겨진 궤적은 벚꽃이 흩날리듯이 사랑스러운 불꽃의 겁화를 피운다
セレスティアルブレード,셀레스티얼 블레이드
火属性ダメージ(特大)/防御UP,화속성 데미지(특대) / 방어 UP
勇躍の心得,용감한 마음가짐
シナリオイベントでの獲得貢献度UP,시나리오 이벤트에서 획득 공헌도 상승


ヘヴンズクラウド,헤븐즈 클라우드
古より空を見守り続けた清風は、己の力を凝縮した美しき輝石を生み落とす。軽やかに舞う翠の切先は天に軌跡を刻み、空に遊ぶ全ての風を味方につける。,고대부터 하늘을 지켜본 청풍은 자신의 힘을 응축한 아름다운 휘석을 만들어낸다。경쾌히 춤추는 녹빛 칼날은 하늘에 궤적을 새기고 하늘에서 노니는 모든 바람을 자신의 것으로 만든다
ネイチャーワンダース,네이처 원더스
風属性ダメージ(特大)/光と水属性追加ダメージ,풍속성 데미지(특대) / 광・수속성 추가 데미지
天を統べる強風,하늘을 통솔하는 강풍
風属性キャラのアビリティダメージ上限UP,풍속성 캐릭터의 어빌리티 데미지 상한 UP


秘丹弥虚羅多包丁,삔야코라타식칼
かつて空より駆逐されし獣は、民の畏れと祈りを受け虚心の境地へと至った。浅く開いた眼は衆生を温かく見守り、加護を纏う刃は捌かれしもののあらゆる因業を断ち切る。,일찍이 하늘에서 창조된 짐승은 주민들의 경외와 기도를 받아 허심의 경지에 이르렀다。가늘게 뜬 눈은 중생을 따뜻하게 지켜보고 가호를 두른 칼날은 어떠한 인업이더라도 잘라낸다
秘丹弥虚羅多説法,삔야코라타설법
水属性ダメージ(特大)/奥義ゲージ上昇量ランダムUP,수속성 데미지(특대) / 오의 게이지 상승량 랜덤 UP


アゾット,아조트
紅く妖艶な刃は現世を天地晦冥へ導く魔を孕む。空を裂く閃きは、興隆と滅亡を繰り返す無限の闇を齎す。,붉고 요사스러운 칼날은 현세를 천지회명으로 이끄는 마를 품는다。하늘을 가르는 섬광은 흥륭과 멸망을 거듭하는 무한한 어둠을 가져온다
オプス・パラミルム,오푸스 파라미룸


イペタム・リビルド,이페탐・리빌드
カウント・ゼロ＋＋,카운트 제로＋＋

イペタム・ウヌ,이페탐・우누
獲物を狙う、猛火の如き静かな殺意は、刃が宿す灼熱の心を解き放つ。劫火とともに奔る刃を受けた者は、血の一滴も残すことなく消失する。,사냥감을 노리는 맹화처럼 고요한 살의는 작열의 마음을 해방한다。겁화와 함께 칼날의 공세를 받은 자는 피 한 방울 남기지 않고 사라진다
火属性ダメージ(特大)/奥義ゲージUP(**%)/弱体成功率UP,화속성 데미지(특대) / 오의 게이지 UP(**%) / 약화 성공률 UP


イペタム・ドゥ,이페탐・두
獲物を狙う、氷の如く冷たき視線は、刃が宿す氷獄の魂を解き放つ。氷晶とともに奔る刃を受けた者は、その身の熱の全てを失う。,사냥감을 노리는 얼음장처럼 차가운 시선은 빙옥의 영혼을 해방한다。빙정과 함께 칼날의 공세를 받은 자는 몸의 열이 모두 사라진다
水属性ダメージ(特大)/奥義ゲージUP(**%)/弱体成功率UP,수속성 데미지(특대) / 오의 게이지 UP(**%) / 약화 성공률 UP


イペタム・トリ,이페탐・트리
獲物を狙う、大山が如き不動の心は、刃が宿す金剛の念を解き放つ。不壊の信念を抱いた者は、己が死しても獲物を屠る。,사냥감을 노리는 태산과 같은 부동의 마음은 금강의 마음을 해방한다。견고한 신념을 품은 자는 자신이 죽더라도 사냥감을 잡는다
土属性ダメージ(特大)/奥義ゲージUP(**%)/弱体成功率UP,토속성 데미지(특대) / 오의 게이지 UP(**%) / 약화 성공률 UP


イペタム・クヴァール,이페탐・크바르
獲物を狙う、疾風が如き身ごなしは、刃が宿す怒涛の風を解き放つ。烈風に巻かれ斃れた獲物は、己の死にさえ気づかない。
風属性ダメージ(特大)/奥義ゲージUP(**%)/弱体成功率UP,풍속성 데미지(특대) / 오의 게이지 UP(**%) / 약화 성공률 UP


イペタム・クヴィン,이페탐・크빈
獲物を狙う、光条ともなう一閃は、刃が宿す玲瓏たる光を解き放つ。天光の如く獲物を照らす刃より逃れる術はない。
光属性ダメージ(特大)/奥義ゲージUP(**%)/弱体成功率UP,광속성 데미지(특대) / 오의 게이지 UP(**%) / 약화 성공률 UP


イペタム・セス,이페탐・세스
獲物を狙う、昏き闇に溶けし心は、刃が宿す混沌の闇を解き放つ。ひとたび闇に身を隠せば、闇そのものが刃と化して獲物を切り刻む。
闇属性ダメージ(特大)/奥義ゲージUP(**%)/弱体成功率UP,암속성 데미지(특대) / 오의 게이지 UP(**%) / 약화 성공률 UP


ファウスト・リビルド,파우스트・리빌드
英雄の携えた短剣は、鍛錬の果てに新たな礎を得た。秘めたる力をその身に宿し、覚醒の時を待つ。,"영웅의 단검은 연마 끝에 새로운 초석을 얻었다。그 몸에 힘을 간직한 채, 각성의 때를 기다린다"
コズミキコニス＋＋,코스미키 코누스＋＋

ファウスト・ウヌ,파우스트・우누
真理の追究者は、その道の果てに原初の炎を見た。刃より放つは、生まれ出でた空を染めた灼炎の海のひとしずく。

ファウスト・ドゥ,파우스트・두
真理の追究者は、その道の果てに無限大の絶対零度を掴む。刃より放つは、火に投じてなお触れえぬほどに冷たい氷獄の呼気。

ファウスト・トリ,파우스트・트리
真理の追究者は、その道の果てに大山の深奥の持つ力を知る。土塊を宝玉と化すその力に生者が触れれば、残るはひとつぶの金剛石のみ。

ファウスト・クヴァール,파우스트・크바르
真理の追究者は、その道の果てに風の行きつく先を知る。風が欲する物さえ与えれば、風はどこへでも吹き続けるのだ。

ファウスト・クヴィン,파우스트・크빈
真理の追究者は、その道の果てに創世の光を知る。そこは極致。無を有に転じたその刹那にこそ、鉛を金に転ずる力が隠されている。

ファウスト・セス,파우스트・세스
真理の追究者は、その道の果てに創世の闇を知る。そこは極致。光さえ無く時すら刻まぬ闇を観ようと、追究者は果てなき戦いを続ける。,진리의 추구자는 그 길의 끝에 창세의 어둠을 깨닫는다。그곳은 극치。빛조차 닿지 않는 어둠을 보기위해 추구자는 끝없는 싸움을 이어간다
闇属性ダメージ(特大)/奥義ゲージUP(**%)/自分のHP回復,암속성 데미지(특대) / 오의 게이지 UP(**%) / 자신의 HP 회복











エターナル・ラヴ,이터널 러브
薔薇の装飾が施された麗しい短剣。その刀身は怪しい光を放っており、まるで悠久の歳月を経たような風格が見られる。,"장미 장식이 들어간 아름다운 단검。칼날에서 신비로운 빛을 내며, 그것은 마치 유구한 세월을 거친 듯한 풍격이 느껴진다"
ブルー・ローゼス,블루 로제스


ミセリコルデ,미세리코르데
己を滅し職務を遂行してきた虚無の極致に呼応し、真なる姿を解放する。心凍らせ闇を纏う凶手の刃は、命を奪う瞬間、標的に甘美なる幻想を見せるという。,"자신 마저 파멸시킬 직무를 수행해온 허무의 극치에 호응하여 진정한 모습을 해방시킨다。마음을 얼리고 어둠을 감싼 흉수의 칼날은 목숨을 앗아가는 순간, 표적에 감미로운 환상을 보여준다고 한다"
ドゥーム,둠
宵闇の住人,초저녁의 주민
稀に秘器消費なし,드물게 비기 소비 없음
奸凶の牙,간흉한 이빨
ダブルアサシン効果UP,더블 어새신 효과 UP


ミセリコルデ・リビルド,미세리코르데・리빌드
ドゥーム＋＋,둠＋＋

ミセリコルデ・ウヌ,미세리코르데・우누
ミセリコルデ・ドゥ,미세리코르데・두
ミセリコルデ・トリ,미세리코르데・트리
ミセリコルデ・クヴァール,미세리코르데・크바르
ミセリコルデ・クヴィン,미세리코르데・크빈
ミセリコルデ・セス,미세리코르데・세스


オールド・コルタナ,올드・콜타나
伝説の騎士が授かりし王を証す短剣。欠けたる刀身は蒼き炎の如く揺らめき、変幻なる妖しの斬撃を走らせん。,"전설의 기사가 받은 왕의 자격을 증명하는 단검。이지러진 도신은 푸른 불꽃처럼 흔들리며, 종잡을 수 없는 요사스런 참격을 날린다"
カウムディー,카우무디
闇属性ダメージ(特大)/自分の弱体効果を*つ回復,암속성 데미지(특대) / 자신의 약화 효과를 *개 회복


コルタナ,콜타나
騎士の栄誉に呼応せし覚醒の短剣。刀身に揺らめく蒼き深淵を覗き見たが最後、追えば消ゆる幻影に怯え、気づけば奈落へ堕ちてその心戻らず。


アルセーヌ,아르센
古今の重宝を抱くは豪奢を極めし絢爛の刃。失われし密かの合金に雄々しき一角を頂く有翼の幻獣はいななき、その輝きはあらゆる価値を平伏させる。
ラヴィン・ユー,러빙유
土属性ダメージ(特大)/魅了効果,토속성 데미지(특대) / 매료 효과


バハムートダガー・フツルス,바하무트 대거・푸투루스
創世の龍の堅牢な牙を象り、畏怖の念を込めて造られた終極の短剣。終末を予言する暴威の一閃は約束された運命の螺旋さえ断裁し、犠牲者の存在した証も残さない。
コンキリオ・ウェントス,콩킬리오・웬투스
ヒューマン族とエルーン族の攻撃力/HP上昇,휴먼과 엘룬의 공격력 / HP 상승
インクルシオー・ウェントス,잉쿠르시오・웬투스
パーティのヒューマン族とエルーン族のキャラの数に応じて攻撃力上昇,파티의 휴먼과 엘룬의 캐릭터 수에 따라 공격력 상승


ダガー・オブ・コスモス,대거 오브 코스모스
混沌を治める秩序の短剣。赤き瞳の少女は従えし龍の力を紡ぎ出し、蒼き祈りを込めて結晶化させた。その輝きは黎明となって乱世に絶対の律を布くだろう。
メディエーションバイト＋,미디에이션 바이트＋
装備中の「短剣」の攻撃力とHPが上昇,장비한 「단검」의 공격력과 HP가 상승
秩序の蒼刃,질서의 푸른 단검
装備している「短剣」の数が多いほどダメージ上限上昇,장비한 「단검」의 수가 많을수록 데미지 상한 상승


ダマスカスナイフ,다마스쿠스 나이프

失伝の刃,실전의 칼날
武器属性ダメージ(特大)/確率で最大*回の追加ダメージ,무기속성 데미지(특대) / 확률로 최대 *회의 추가 데미지


デュアルヘリックス,듀얼 헬릭스
黄金の双刃が絡みあい螺旋を成す、聖なる力が宿る短剣。清き者には治癒を授け、悪しき者には魔障を齎す。
スクルーエレメン,스크류 엘리먼트
光属性ダメージ(特大)/ダメージ*回無効化,광속성 데미지(특대) / 데미지 *회 무효화


スパルナフェザー,스파르나 페더
黄昏色に煌めく透徹の刀身を持つ豪奢な短剣。勇気の化身の力を宿しており、使い手の勇気に応じて、刀身が燦然と煌めき、その秘めたる力を解放する。
フェザーサークル,페더 서클
風属性ダメージ(特大)/幻影効果(*回),풍속성 데미지(특대) / 환영 효과(*회)


ファントムシーフナイフ,팬텀 시프 나이프
世紀の大怪盗シャノワールが持つ短剣で、主に戦闘ではなくキーピック、建物侵入などに使用され、様々なトリックを駆使し盗みを働く彼には欠かせない。盗みは、かっこ良くスマートに、がシャノワールの美学。
スティルフェイト,스틸 페이트
水属性ダメージ(特大)/幻影効果(*回),수속성 데미지(특대) / 환영 효과(*회)


ブラッディスカー,블러디 스카
それは呪われし魔性の短剣。黒と紅に妖しく煌めく刀身は、見る者全てを魅了し、その悉くを刃へと投じさせ、血と生命の全てを喰らい尽くす。繰り返される殺戮の果て、その刀身はさらなる漆黒へと染まってゆく……
シークレット・クリムゾン,시크릿 크림슨


リユニオン,리유니온
美しく磨かれた刃は蒼穹を宿し、広い空の下、再会を誓った少女と仲間たちとの約束の絆を繋ぐ。いつか強くなるために……少女のその強い意志は風に乗り、仲間の元へと届けられるだろう。
スカイデパーチャー,스카이 디퍼처
風属性ダメージ(特大)/味方全体の風属性攻撃UP,풍속성 데미지(특대) / 아군 전체의 풍속성 공격 UP


デルタ・クォーツ,델타 쿼츠
柄に埋め込まれた燃える石に秘する魔導が、巨大な三角の牙を模る。切り裂かれ生まれし裂傷は、永久に塞がることなく燃焼しその身を消滅させる。
デルタブリンガー,델타 브링거
火属性ダメージ(特大)/連続攻撃確率UP,화속성 데미지(특대) / 연속공격 확률 UP


ローズクリスタルナイフ,로즈 크리스탈 나이프
燃えるが如く咲き誇る薔薇の生命力を結集し象られた短剣。美しい風貌が人を誘い、その美しさに隠れた棘で牙を剥く。
ドミネイションスラッシュ,도미네이션 슬래시
風属性ダメージ(特大)/風属性防御DOWN,풍속성 데미지(특대) / 풍속성 방어 DOWN
翠薔薇の棘,녹색 장미의 가시
翠薔薇の花弁,녹색 장미의 꽃잎
土属性ダメージ軽減,토속성 데미지 경감


銀の依代の刃,은빛 의대용 단검
漆黒の闇夜を比類なき燐光をもって照らし出す、銀の依代の刃。一縷の望みに天命を賭してこそ、その彷徨う心魂は導かれ峻厳たる蒼天の果てへと向かう。,"칠흑 같은 어두운 밤에도 인광을 내는 은빛 의대용 단검。한가닥 희망에 천명을 걸었을 때, 그 방황하는 심혼은 인도되어 준엄한 창천의 끝으로 향한다"


黄金の依代の刃,황금빛 의대용 단검
天地万物随一の燦爛をもって、混沌たる世の中を掌握せしめんとする黄金の依代の刃。遥かなる高みに辿り着きし者こそが、万有の主となろう。,천지만물 제일의 찬란함으로 혼돈스러운 세상을 장악하고 있는 황금빛 의대용 단검。까마득히 높은 경지에 도달한 자야말로 만물의 주인이 될 것이다


パラゾニウム,파라조니움
古より深紫に染まりし宝石は、黒色の刃をも淫靡に艶めかす。返り血を浴びた火照りし顔を幅広き鏡面の刃にうつしだす時、その心魂は幽世へ誘われよう。
リゾブル・ソウル,리졸브 소울
闇属性ダメージ(特大)/闇属性追撃効果,암속성 데미지(특대) / 암속성 추격 효과


ダンデライオン,댄디라이언
迸る生命力に溢れし草花は、如何なる天候にも左右されることはない。ただ愚直に、大地に根を張り、天に向かって健やかに伸びてゆく。花が散ろうと茎が曲がろうと、再び花開き立ち上がるその姿は見る者の感動を呼ぶ。
真心の愛,진심어린 사랑
愛の信託,사랑의 신탁
風属性男性キャラの攻撃力上昇/風属性女性キャラの防御力上昇 ◆メイン装備時,풍속성 남성 캐릭터의 공격력 상승 / 풍속성 여성 캐릭터의 방어력 상승 ◆메인 장비시
貴方へ贈る言葉,당신에게 전하는 말


女王の一刺し,여왕의 일침
群れの中で気高く君臨する女王蜂の如く、絢爛たる装飾が施された、鋭き針状の切っ先を持つ短剣。その意匠の通り、狙い澄ました一刺しをもって、有象無象の命を絶たん。
クイーンスティング,퀸 스팅
土属性ダメージ(特大)/毒効果/稀に即死効果,토속성 데미지(특대) / 독 효과 / 드물게 즉사 효과
ロイヤルギフト,로얄 기프트
