orig,kr
闇の元素が究極まで圧縮されて生まれた結晶体,어둠의 원소가 궁극으로 압축되어 태어난 결정체
黄龍のアニマ,황룡의 아니마
黄龍の力の結晶,황룡의 힘이 담긴 결정
黄龍のマグナアニマ,황룡의 마그나 아니마
黄龍の真の力の結晶,황룡의 진정한 힘이 담긴 결정
黒麒麟のアニマ,흑기린의 아니마
黒麒麟の力の結晶,흑기린의 힘이 담긴 결정
黒麒麟のマグナアニマ,흑기린의 마그나 아니마
黒麒麟の真の力の結晶,흑기린의 진정한 힘이 담긴 결정
ティアマト・マリスのアニマ,티아마트 마리스의 아니마
ティアマト・マリスの力の結晶,티아마트 마리스의 힘이 담긴 결정
リヴァイアサン・マリスのアニマ,리바이어선 마리스의 아니마
リヴァイアサン・マリスの力の結晶,리바이어선 마리스의 힘이 담긴 결정
マリス・フラグメント,마리스 플래그먼트
純粋なる悪意を内に秘めた禍々しい結晶,순수한 악의를 내포한 불길한 결정
虚ろなる鍵,공허한 열쇠
過去から未来に至るまであらゆる事象に干渉できると信じられている不思議な鍵,과거에서 미래에 이르기까지 모든 일에 간섭할 수 있다고 여겨지는 불가사의한 열쇠
ジェネシス・フラグメント,제네시스 플래그먼트
星の獣が持つ力を内に秘めた神々しい結晶,별의 짐승이 지닌 힘을 내포한 성스러운 결정체
シャード・オブ・ダークネス,섀도우 오브 다크니스
全てを尽くした激戦の中で、ルシファーの躰から零れ落ちた漆黒の物質,"모든 힘을 쏟아낸 격전 중에, 루시퍼의 육체에서 떨어져 나온 칠흑의 물질."
ダークネス・マテリアル,다크니스 마테리얼
黒い物質の中から暗くて凄まじい力を感じる,검은 물질 안에서 어둡고 종잡을 수 없는 힘이 느껴진다.
終末の暗晶,종말의 암정
測定できない巨大な力が込められている結晶。近くにいるだけで気を奪われそうだ,측정할 수 없는 거대한 힘이 담겨진 결정. 가까이 다가가는 것만으로도 정신을 빼앗길 것 같다.
福音の火舞う恩寵,복음의 불이 흩날리는 은총
天に存在する全ての火の力を感じることが出来る美しい結晶,하늘에 존재하는 모든 불의 힘을 느낄 수 있는 아름다운 결정체
福音の水湧く恩寵,복음의 물이  샘솟는 은총
天に存在する全ての水の力を感じることが出来る美しい結晶,하늘에 존재하는 모든 물의 힘을 느낄 수 있는 아름다운 결정체
福音の土護る恩寵,복음의 땅이 수호하는 은총
天に存在する全ての土の力を感じることが出来る美しい結晶,하늘에 존재하는 모든 땅의 힘을 느낄 수 있는 아름다운 결정체
福音の風囁く恩寵,복음의 바람이 속삭이는 은총
天に存在する全ての風の力を感じることが出来る美しい結晶,하늘에 존재하는 모든 바람의 힘을 느낄 수 있는 아름다운 결정체
福音の光降る恩寵,복음의 빛이 내리는 은총
天に存在する全ての光の力を感じることが出来る美しい結晶,하늘에 존재하는 모든 빛의 힘을 느낄 수 있는 아름다운 결정체
福音の闇覆う恩寵,복음의 어둠이 가두는 은총
天に存在する全ての闇の力を感じることが出来る美しい結晶,하늘에 존재하는 모든 어둠의 힘을 느낄 수 있는 아름다운 결정체
真龍の金鱗,진룡의 금린
目覚めたばかりの真龍が纏う、黄金色に輝く鱗,막 깨어난 진룡의 황금빛 비늘
祖なる欠片,시초의 파편
六竜の宿す魔力が物質化し、結晶となったもの,"육룡이 품은 마력이 물질화 되어, 결정이 된 것"
イグナイトラブル

アビサル・トラジェディー

インシュラーコア

ゲイルロック

靂輪

トーデストリープ

火の羽根,불의 깃털
ミカエルの翼から抜け落ちた巨大な羽根,미카엘의 날개에서 빠진 거대한 깃털
水の羽根,물의 깃털
ガブリエルの翼から抜け落ちた巨大な羽根,가브리엘의 날개에서 빠진 거대한 깃털
土の羽根,땅의 깃털
ウリエルの翼から抜け落ちた巨大な羽根,우리엘의 날개에서 빠진 거대한 깃털
風の羽根,바람의 깃털
ラファエルの翼から抜け落ちた巨大な羽根,라파엘의 날개에서 빠진 거댜한 깃털
火の光輪,불의 광륜
火属性の力が凝縮して形成された光輪,불 속성의 힘이 응축되어 형성된 광륜
水の光輪,물의 광륜
水属性の力が凝縮して形成された光輪,물 속성의 힘이 응축되어 형성된 광륜
土の光輪,땅의 광륜
土属性の力が凝縮して形成された光輪,땅 속성의 힘이 응축되어 형성된 광륜
風の光輪,바람의 광륜
風属性の力が凝縮して形成された光輪,바람 속성의 힘이 응축되어 형성된 광륜


!상한해방템
炎の宝珠,불의 보주
炎の力を秘めた宝玉,불의 힘을 간직한 보옥
水の宝珠,물의 보주
水の力を秘めた宝玉,물의 힘을 간직한 보옥
土の宝珠,땅의 보주
土の力を秘めた宝玉,땅의 힘을 간직한 보옥
風の宝珠,바람의 보주
風の力を秘めた宝玉,바람의 힘을 간직한 보옥
光の宝珠,빛의 보주
光の力を秘めた宝玉,빛의 힘을 간직한 보옥
闇の宝珠,어둠의 보주
闇の力を秘めた宝玉,어둠의 힘을 간직한 보옥
紅蓮の宝珠,홍련의 보주
紅く燃え滾る紅蓮の力を秘めた宝玉,붉게 타오르는 홍련의 힘을 간직한 보옥
霧氷の宝珠,무빙의 보주
冷酷にも美しい霧氷の力を秘めた宝玉,"냉혹하고도 아름다운 무빙의 힘을 간직한 보옥"
大地の宝珠,대지의 보주
全てを揺がす大地の力を秘めた宝玉,"모든 것을 뒤흔드는 대지의 힘을 간직한 보옥"
烈空の宝珠,열공의 보주
大気を切り裂く烈空の力を秘めた宝玉,"대기를 가르는 열공의 힘을 간직한 보옥"
煌光の宝珠,황광의 보주
天空に満ちる煌光の力を秘めた宝玉,천공에 차오르는 황광의 힘을 간직한 보옥
奈落の宝珠,나락의 보주
深きに坐する奈落の力を秘めた宝玉,깊이 내려앉은 나락의 힘을 간직한 보옥
赤の書,붉은책
火の力について記した魔術書,불의 힘에 대한 내용이 기록된 마법서
青の書,푸른책
水の力について記した魔術書,물의 힘에 대한 내용이 기록된 마법서
橙の書,노란책
土の力について記した魔術書,땅의 힘에 대한 내용이 기록된 마법서
緑の書,녹색책
風の力について記した魔術書,바람의 힘에 대한 내용이 기록된 마법서
白の書,하얀책
光の力について記した魔術書,빛의 힘에 대한 내용이 기록된 마법서
黒の書,검은책
闇の力について記した魔術書,어둠의 힘에 대한 내용이 기록된 마법서
業火の巻,업화의 두루마리
業火の力を封印した巻物,업화의 힘을 봉인한 두루마리
濁流の巻,탁류의 두루마리
濁流の力を封印した巻物,탁류의 힘을 봉인한 두루마리
地裂の巻,지열의 두루마리
地裂の力を封印した巻物,지열의 힘을 봉인한 두루마리
疾風の巻,질풍의 두루마리
疾風の力を封印した巻物,질풍의 힘을 봉인한 두루마리
天光の巻,천광의 두루마리
天光の力を封印した巻物,천광의 힘을 봉인한 두루마리
深淵の巻,심연의 두루마리
深淵の力を封印した巻物,심연의 힘을 봉인한 두루마리
ファイア・ジーン,파이어 진
命の深くに刻まれた火炎の記憶,생명 속에 새겨진 화염의 기억
アクア・ジーン,아쿠아 진
命の深くに刻まれた水流の記憶,생명 속에 새겨진 수류의 기억
アース・ジーン,어스 진
命の深くに刻まれた大地の記憶,생명 속에 새겨진 대지의 기억
ウィンド・ジーン,윈드 진
命の深くに刻まれた疾風の記憶,생명 속에 새겨진 질풍의 기억
ホーリー・ジーン,홀리 진
命の深くに刻まれた聖光の記憶,생명 속에 새겨진 성광의 기억
ダーク・ジーン,다크 진
命の深くに刻まれた暗黒の記憶,생명 속에 새겨진 암흑의 기억
星晶の破片,성정의 파편
星晶石のごく小さな破片,아주 작은 성정석의 파편
星晶の欠片,성정의 단편
星晶の力を秘めた欠片,성정의 힘이 담긴 조각
星晶塊,성정 덩어리
大きな星晶石の塊,커다란 성정석 덩어리
虹星晶,홍성정
虹色に美しく輝く星晶石,무지개 빛으로 아름답게 빛나는 성정석
赤竜鱗,적룡의 비늘
火竜ヴレッザレクの鱗,화룡 블레자레크의 비늘
青竜鱗,청룡의 비늘
氷竜ウィリヌスの鱗,빙룡 윌리누스의 비늘
地竜鱗,지룡의 비늘
地竜ドルベイルの鱗,지룡 도르베일의 비늘
風竜鱗,풍룡의 비늘
風竜イールシアスの鱗,풍룡 일루시아스의 비늘
白竜鱗,백룡의 비늘
白竜ラディスの鱗,백룡 라디스의 비늘
黒竜鱗,흑룡의 비늘
黒竜イーヴィルの鱗,흑룡 이블의 비늘
栄光の証,영광의 증서
優れた騎空士としての栄光を得た証,뛰어난 기공사로서의 영광을 얻은 증표
覇者の証,패자의 증서
全空の騎空士の中でも優れた実力を持つ者の証,모든 하늘의 기공사들 중에서도 실력이 뛰어난<br>자의 증표
究竟の証,궁극의 증서
すべての騎空士の中でも頂点に匹敵する実力を持つ者の証,모든 기공사들 중에서도 정점에 필적하는 실력을 갖춘 자의 증표
碧空の結晶,벽공의 결정
青空に掲げると光を受け美しく輝く結晶,"푸른 하늘에 떠오른 빛을 받아, 아름답게<br>빛나는 결정체"
剣のエレメント,검의 엘리먼트
名高き剣から取り出された、断ち切る力の断片。,뛰어난 검에서 추출한 잘라내는 힘의 단편
短剣のエレメント,단검의 엘리먼트
名高き短剣から取り出された、変幻自在の力の断片。,뛰어난 단검에서 추출한 변환자제의 힘의 단편
槍のエレメント,창의 엘리먼트
名高き槍から取り出された、貫き通す力の断片。,뛰어난 창에서 추출한 꿰뚫는 힘의 단편
斧のエレメント,도끼의 엘리먼트
名高き斧から取り出された、断ち割る力の断片。,뛰어난 도끼에서 추출한 쪼개는 힘의 단편
杖のエレメント,지팡이의 엘리먼트
名高き杖から取り出された、導く力の断片。,뛰어난 지팡이에서 추출한 인도하는 힘의 단편
銃のエレメント,총의 엘리먼트
名高き銃から取り出された、撃ち通す力の断片。,뛰어난 총에서 추출한 관통하는 힘의 단편
格闘のエレメント,격투의 엘리먼트
名高き格闘武器から取り出された、叩き伏せる力の断片。,뛰어난 격투 무기에서 추출한 때려눕히는 힘의 단편
弓のエレメント,활의 엘리먼트
名高き弓から取り出された、射抜く力の断片。,뛰어난 활에서 추출한 쏘아 꿰뚫는 힘의 단편
楽器のエレメント,악기의 엘리먼트
名高き楽器から取り出された、妙なる力の断片。,뛰어난 악기에서 추출한 신묘한 힘의 단편
刀のエレメント,도의 엘리먼트
名高き刀から取り出された、斬り裂く力の断片。,뛰어난 도에서 추출한 베어내는 힘의 단편
火晶のエレメント,화정의 엘리먼트
火を宿す召喚石から取り出された、燃える力の断片。,불을 품은 소환석에서 추출한 타오르는 힘의 단편
水晶のエレメント,수정의 엘리먼트
水を宿す召喚石から取り出された、流転する力の断片。,물을 품은 소환석에서 추출한 유전하는 힘의 단편
土晶のエレメント,토정의 엘리먼트
土を宿す召喚石から取り出された、揺るがす力の断片。,땅을 품은 소환석에서 추출한 뒤흔드는 힘의 단편
風晶のエレメント,풍정의 엘리먼트
風を宿す召喚石から取り出された、俊敏な力の断片。,바람을 품은 소환석에서 추출한 준민한 힘의 단편
光晶のエレメント,광정의 엘리먼트
光を宿す召喚石から取り出された、天を照らす力の断片。,빛을 품은 소환석에서 추출한 하늘을 비추는<br>힘의 단편
闇晶のエレメント,암정의 엘리먼트
闇を宿す召喚石から取り出された、昏きに沈む力の断片。,어둠을 품은 소환석에서 추출한 어둠에 가라앉은 힘의 단편
業火の石片,업화의 석편
業火の試練で踏み砕いた石の欠片,업화의 시련을 돌파하여 얻은 부숴진 돌조각
玉水の石片,옥수의 석편
玉水の試練で踏み砕いた石の欠片,옥수의 시련을 돌파하여 얻은 부숴진 돌조각
荒土の石片,황토의 석편
荒土の試練で踏み砕いた石の欠片,황토의 시련을 돌파하여 얻은 부숴진 돌조각
狂風の石片,광풍의 석편
狂風の試練で踏み砕いた石の欠片,광풍의 시련을 돌파하여 얻은 부숴진 돌조각
火の光輪,불의 광륜
火属性の力が凝縮して形成された光輪,불 속성의 힘이 응축되어 형성된 광륜
水の光輪,물의 광륜
水属性の力が凝縮して形成された光輪,물 속성의 힘이 응축되어 형성된 광륜
土の光輪,땅의 광륜
土属性の力が凝縮して形成された光輪,땅 속성의 힘이 응축되어 형성된 광륜
風の光輪,바람의 광륜
風属性の力が凝縮して形成された光輪,바람 속성의 힘이 응축되어 형성된 광륜
セフィラストーン,세피라 스톤
かつて神々の戦いの舞台になったとされる島で採れる<br>神秘的な輝きを湛える結晶,과거 신들의 전장이 되었다는 섬에서 채취되는<br>신비한 빛을 내뿜는 결정
火精のアストラ,화정의 아스트라
星晶獣から抽出した純粋な火の力で満たされた魔導器,성정수에게서 추출한 순수한 불의 힘으로<br>채워진 마도기
水精のアストラ,수정의 아스트라
星晶獣から抽出した純粋な水の力で満たされた魔導器,성정수에게서 추출한 순수한 물의 힘으로<br>채워진 마도기
土精のアストラ,토정의 아스트라
星晶獣から抽出した純粋な土の力で満たされた魔導器,성정수에게서 추출한 순수한 땅의 힘으로<br>채워진 마도기
風精のアストラ,풍정의 아스트라
星晶獣から抽出した純粋な風の力で満たされた魔導器,성정수에게서 추출한 순수한 바람의 힘으로<br>채워진 마도기
光精のアストラ,광정의 아스트라
星晶獣から抽出した純粋な光の力で満たされた魔導器,성정수에게서 추출한 순수한 빛의 힘으로<br>채워진 마도기
闇精のアストラ,암정의 아스트라
星晶獣から抽出した純粋な闇の力で満たされた魔導器,성정수에게서 추출한 순수한 어둠의 힘으로<br>채워진 마도기
正義のイデア,정의의 이데아
恐れよ　平等の天秤は厳正を与えん,두려워하라  평등의 천칭은 엄격하고 올바른 선고를 내릴지니
刑死者のイデア,사형수의 이데아
耐えよ　彼が与える愚かなる試練に,견디어라  그가 내리는 어리석은 시련에
死神のイデア,사신의 이데아
燃えよ　恋い焦がれた果てに待つは静かなる終焉,타올라라  사모의 끝에 기다리는 고요한 종말과
節制のイデア,절제의 이데아
願え　万象の乱れを、禍福の全てを支配せん,바라거라  만상의 혼란을 재앙과 축복의 모든 것을 지배하라
悪魔のイデア,악마의 이데아
畏怖せよ　混沌の渦はあらゆる力をも飲み込まん,두려워하라  혼돈의 소용돌이는 모든 힘을 집어삼키리라
塔のイデア,탑의 이데아
破壊せよ　魔なる者と共に全てを,파괴하라  악한자와 함께 모든것을
星のイデア,별의 이데아
戦え　闇夜を切り裂き、見果てぬ戦場を目指さん,싸워라  어둠을 가르며 끝없는 전장을 향해
月のイデア,달의 이데아
覆せ　あらゆる事実は偽りである,뒤엎어라  모든 사실은 거짓이니
太陽のイデア,태양의 이데아
崇めよ　慈悲の光は歪な真実を隠す,받들어라 자비의 빛은 일그러진 진실을 숨기니
審判のイデア,심판의 이데아
響け　皇帝の喇叭よ　彼方まで,울려퍼져라  황제의 포효여  저 너머까지
オーロラ・ヘイズ,오로라 헤이즈
未来への願望と憂いが混ざり具現化したゆらめく霞,미래에 대한 갈망과 근심이 뒤섞여 구현된 일렁이는 안개
カオティック・ヘイズ,카오틱 헤이즈
過去への羨望と嘆きが混ざり具現化したゆらめく霞,과거에 대한 선망과 슬픔이 뒤섞여 구현된 일렁이는 안개
アクイラ・フラグメント,아퀼라 플래그먼트
赤くきらめく不可思議な破片,붉게 빛나는 불가사의한 파편
ベラトール・フラグメント,벨라토르 플래그먼트
緑色にきらめく不可思議な破片,녹색으로 빛나는 불가사의한 파편
ケルサス・フラグメント,켈수스 플래그먼트
青くきらめく不可思議な破片,푸르게 빛나는 불가사의한 파편
セフィラ玉髄,세피라 옥수
星々のまたたきを湛えた貴石,별들의 반짝임을 담은 수정
ヴェルム文書・火,벨름문서・불
火の力が切り開く新たな世界について綴られている教典,불의 힘을 개척하는 신세계에 대해 서술되어 있는 교전
ヴェルム文書・水,벨름문서・물
水の力が揺り動かす新たな世界について綴られている教典,물의 힘을 뒤흔드는 신세계에 대해 서술되어 있는 교전
ヴェルム文書・土,벨름문서・땅
土の力が築き上げる新たな世界について綴られている教典,땅의 힘을 쌓아 올리는 신세계에 대해 서술되어 있는 교전
ヴェルム文書・風,벨름문서・바람
風の力が研ぎ上げる新たな世界について綴られている教典,바람의 힘을 연마하는 신세계에 대해 서술되어 있는 교전
ジャスティスが描かれたカード,저스티스가 그려진 카드
正義を示すアーカルムシリーズの絵が描かれたカード,정의를 나타내는 아카룸 시리즈의 그림이 그려진 카드
ザ・ハングドマンが描かれたカード,행드맨이 그려진 카드
刑死者を示すアーカルムシリーズの絵が描かれたカード,사형수를 나타내는 아카룸 시리즈의 그림이 그려진 카드
デスが描かれたカード,데스가 그려진 카드
死を示すアーカルムシリーズの絵が描かれたカード,죽음을 나타내는 아카룸 시리즈의 그림이 그려진 카드
テンペランスが描かれたカード,템퍼런스가 그려진 카드
節制を示すアーカルムシリーズの絵が描かれたカード,절제를 나타내는 아카룸 시리즈의 그림이 그려진 카드
ザ・デビルが描かれたカード,데빌이 그려진 카드
悪魔を示すアーカルムシリーズの絵が描かれたカード,악마를 나타내는 아카룸 시리즈의 그림이 그려진 카드
ザ・タワーが描かれたカード,타워가 그려진 카드
塔を示すアーカルムシリーズの絵が描かれたカード,탑을 나타내는 아카룸 시리즈의 그림이 그려진 카드
ザ・スターが描かれたカード,스타가 그려진 카드
星を示すアーカルムシリーズの絵が描かれたカード,별을 나타내는 아카룸 시리즈의 그림이 그려진 카드
ザ・ムーンが描かれたカード,문이 그려진 카드
月を示すアーカルムシリーズの絵が描かれたカード,달을 나타내는 아카룸 시리즈의 그림이 그려진 카드
ザ・サンが描かれたカード,선이 그려진 카드
太陽を示すアーカルムシリーズの絵が描かれたカード,태양을 나타내는 아카룸 시리즈의 그림이 그려진 카드
ジャッジメントが描かれたカード,저지먼트가 그려진 카드
審判を示すアーカルムシリーズの絵が描かれたカード,심판을 나타내는 아카룸 시리즈의 그림이 그려진 카드
剣の銀片,검의 은편
剣の印が刻まれた鈍く輝く小さな銀片,검 모양이 새겨진 희미하게 반짝이는 작은 은조각
刃の銀片,도의 은편
刃の印が刻まれた鈍く輝く小さな銀片,도 모양이 새겨진 희미하게 반짝이는 작은 은조각
槍の銀片,창의 은편
槍の印が刻まれた鈍く輝く小さな銀片,창 모양이 새겨진 희미하게 반짝이는 작은 은조각
斧の銀片,도끼의 은편
斧の印が刻まれた鈍く輝く小さな銀片,도끼 모양이 새겨진 희미하게 반짝이는 작은 은조각
杖の銀片,지팡이의 은편
杖の印が刻まれた鈍く輝く小さな銀片,지팡이 모양이 새겨진 희미하게 반짝이는 작은 은조각
銃の銀片,총의 은편
銃の印が刻まれた鈍く輝く小さな銀片,총 모양이 새겨진 희미하게 반짝이는 작은 은조각
手甲の銀片,장갑의 은편
手甲の印が刻まれた鈍く輝く小さな銀片,장갑 모양이 새겨진 희미하게 반짝이는 작은 은조각
弓の銀片,활의 은편
弓の印が刻まれた鈍く輝く小さな銀片,활 모양이 새겨진 희미하게 반짝이는 작은 은조각
竪琴の銀片,하프의 은편
竪琴の印が刻まれた鈍く輝く小さな銀片,하프 모양이 새겨진 희미하게 반짝이는 작은 은조각
太刀の銀片,태도의 은편
太刀の印が刻まれた鈍く輝く小さな銀片,태도 모양이 새겨진 희미하게 반짝이는 작은 은조각
純然たる剣の魂,순수한 검의 혼
剣を象り揺らめく白き燈火,검 모양으로 일렁이는 하얀 등불
純然たる刃の魂,순수한 도의 혼
刃を象り揺らめく白き燈火,도 모양으로 일렁이는 하얀 등불
純然たる槍の魂,순수한 창의 혼
槍を象り揺らめく白き燈火,창 모양으로 일렁이는 하얀 등불
純然たる斧の魂,순수한 도끼의 혼
斧を象り揺らめく白き燈火,도끼 모양으로 일렁이는 하얀 등불
純然たる杖の魂,순수한 지팡이의 혼
杖を象り揺らめく白き燈火,지팡이 모양으로 일렁이는 하얀 등불
純然たる銃の魂,순수한 총의 혼
銃を象り揺らめく白き燈火,총 모양으로 일렁이는 하얀 등불
純然たる手甲の魂,순수한 장갑의 혼
手甲を象り揺らめく白き燈火,장갑 모양으로 일렁이는 하얀 등불
純然たる弓の魂,순수한 활의 혼
弓を象り揺らめく白き燈火,활 모양으로 일렁이는 하얀 등불
純然たる竪琴の魂,순수한 하프의 혼
竪琴を象り揺らめく白き燈火,하프 모양으로 일렁이는 하얀 등불
純然たる太刀の魂,순수한 태도의 혼
太刀を象り揺らめく白き燈火,태도 모양으로 일렁이는 하얀 등불
一番天星の欠片,일번천성의 조각
一の星が煌めく黄金の欠片,하나의 별이 반짝이는 황금 조각
二番天星の欠片,이번천성의 조각
二の星が煌めく黄金の欠片,두개의 별이 반짝이는 황금 조각
三番天星の欠片,삼번천성의 조각
三の星が煌めく黄金の欠片,세개의 별이 반짝이는 황금 조각
四番天星の欠片,사번천성의 조각
四の星が煌めく黄金の欠片,네개의 별이 반짝이는 황금 조각
五番天星の欠片,오번천성의 조각
五の星が煌めく黄金の欠片,다섯개의 별이 반짝이는 황금 조각
六番天星の欠片,육번천성의 조각
六の星が煌めく黄金の欠片,여섯개의 별이 반짝이는 황금 조각
七番天星の欠片,칠번천성의 조각
七の星が煌めく黄金の欠片,일곱개의 별이 반짝이는 황금 조각
八番天星の欠片,팔번천성의 조각
八の星が煌めく黄金の欠片,여덟개의 별이 반짝이는 황금 조각
九番天星の欠片,구번천성의 조각
九の星が煌めく黄金の欠片,아홉개의 별이 반짝이는 황금 조각
十番天星の欠片,십번천성의 조각
十の星が煌めく黄金の欠片,열개의 별이 반짝이는 황금 조각


!공투전용템
灼滅の焔角,작멸의 염각
灼滅の間に渦巻く憤怒が刻まれた角,작멸의 틈에서 소용돌이치는 분노가 담긴 뿔
氷獄の結晶,빙옥의 결정
氷獄の間に響く嘆きの結晶,빙옥의 틈에서 울려퍼지는 탄식의 결정
裁考の水晶,재고의 수정
裁考の間に綴られる審判を映した水晶,재고의 틈에서 내려진 심판을 비추는 수정
人馬の円盤,인마의 원판
人馬の間に満ちる矜持を秘めた円盤,인마의 틈에 가득 찬 긍지를 담은 원판
妃光の水晶,비광의 수정
妃光の間を照らす輝きを封じた水晶,비광의 틈을 비추는 광채를 봉인한 수정
幻魔の破片,환마의 파편
幻魔の間に漂う闇の淀みの欠片,환마의 틈에 감도는 어둠이 응집된 파편
灼熱の書,작열의 서
灼けつく炎の力について記した魔導書,휘몰아치는 불의 힘에 대해 기록한 마도서
水分の書,수분의 서
水分りの神の力について記した魔導書,물을 분배하는 신의 힘에 대해 기록한 마도서
巨人の書,거인의 서
巨人が戦で培った力について記した魔導書,거인이 전쟁에서 기른 힘에 대해 기록한 마도서
風凪の書,풍지의 서
風を起こし止ませる力について記した魔導書,바람을 일으키고 멈추게 하는 힘에 대해 기록한<br>마도서
赤銅の古紋,고대의 적동
商人達に安値で取引される、赤銅色に輝く小さなコイン,상인들에게 싼값에 거래되는 작은 구릿빛 동전
白銀の古紋,고대의 백은
商人達にそこそこの値で取引される、白銀色に輝く小さなコイン,상인들에게 적당한 값에 거래되는 작은 은빛 동전
黄金の古紋,고대의 황금
商人達に高値で取引される、黄金色に輝く小さなコイン,상인들에게 고가로 거래되는 작은 황금빛 동전
幽光の砂,유광의 모래
薬品や魔力の生成に用いられる、朧げな光を纏う砂,약품이나 마력의 생성에 사용되는 희미한 빛이 감도는 모래
泡影の火砂,포영의 불모래
薬品や魔力の生成に用いられる、淡く儚げな光を放つ砂,약품이나 마력의 생성에 사용되는 희미한 빛을 발하는 모래
幽光の水,유광의 물
薬品や魔力の生成に用いられる、朧げな光を纏う水,약품이나 마력을 생성에 사용되는 희미한 빛이 감도는 물
泡影の水流,포영의 수류
薬品や魔力の生成に用いられる、淡く儚げな光を放つ水,약품이나 마력을 생성에 사용되는 희미한 빛을 발하는 물
幽光の岩,유광의 바위
薬品や魔力の生成に用いられる、朧げな光を纏う岩,약품이나 마력의 생성에 사용되는 희미한 빛이 감도는 바위
泡影の岩砂,포영의 돌가루
薬品や魔力の生成に用いられる、淡く儚げな光を放つ岩砂,약품이나 마력을 생성에 사용되는 희미한 빛을 발하는 돌가루
幽光の羽,유광의 깃털
薬品や魔力の生成に用いられる、朧げな光を纏う羽,약품이나 마력의 생성에 사용되는 희미한 빛이 감도는 깃털
泡影の風羽,포영의 바람깃털
薬品や魔力の生成に用いられる、淡く儚げな光を放つ羽,약품이나 마력의 생성에 사용되는 희미한 빛을 발하는 깃털
烈火の岩石,열화의 암석
高値で取引される、熾烈な炎を宿す岩石<br>その熱は極寒の地でも潰えることがない,고가에 거래되는 격렬한 불길을 품고 있는 암석.<br>그 열은 혹한의 땅에서도 꺾이지 않는다
麗水の珊瑚,맑은 물 산호
高値で取引される、美しい珊瑚<br>雨を呼び、荒ぶる水を鎮めると言われる,"고가에 거래되는 아름다운 산호.<br>비를 부르며, 거친 물을 진정시킨다고 한다"
豊沃の琥珀,비옥한 호박
高値で取引される、光り輝く琥珀<br>持つ者に幸運を呼ぶと言う,고가에 거래되는 빛나는 호박.<br>소유자에게 행운을 가져다준다고 한다
雄風の葉,웅풍잎
高値で取引される、風の加護を受けた葉<br>騎空士達にはお守りとして重宝されている,고가에 거래되는 바람의 가호를 받은 잎.<br>기공사들에게는 부적으로서 귀중히 여겨진다
戦士の信念,전사의 신념
窮地を切り開く者の勇気を宿す宝珠,궁지에서 벗어난 자의 용기를 담은 보주
魔導士の信念,마도사의 신념
真理を探す者の才気を宿す宝珠,진리를 찾는 자의 재치를 담은 보주
騎士の誇り,기사의 긍지
誇りを背負う者の忠義を宿す宝珠,긍지를 짊어진 자의 충의를 담은 보주
賢者の誇り,현자의 긍지
世の理を見た者の智慧を宿す宝珠,세상 이치를 본 자의 지혜를 담은 보주
剣闘士の証,검투사의 증표
大きな功績を残した歴戦の剣闘士に贈られる名誉ある証,위대한 공적을 세운 역전의 검투사에게 주어지는 명예로운 증표
守護騎士の証,수호기사의 증표
大きな功績を残した歴戦の守護騎士に贈られる名誉ある証,위대한 공적을 세운 역전의 수호기사에게 주어지는 명예로운 증표
聖職者の証,성직자의 증표
大きな功績を残した歴戦の聖職者に贈られる名誉ある証,위대한 공적을 세운 역전의 성직자에게 주어지는 명예로운 증표
魔導士の証,마도사의 증표
大きな功績を残した歴戦の魔導士に贈られる名誉ある証,위대한 공적을 세운 역전의 마도사에게 주어지는 명예로운 증표
盗賊の証,도적의 증표
大きな功績を残した歴戦の盗賊に贈られる名誉ある証,위대한 공적을 세운 역전의 도적에게 주어지는 명예로운 증표
魔剣士の証,마검사의 증표
大きな功績を残した歴戦の魔剣士に贈られる名誉ある証,위대한 공적을 세운 역전의 마검사에게 주어지는 명예로운 증표
格闘士の証,격투사의 증표
大きな功績を残した歴戦の格闘士に贈られる名誉ある証,위대한 공적을 세운 역전의 격투사에게 주어지는 명예로운 증표
射手の証,사수의 증표
大きな功績を残した歴戦の射手に贈られる名誉ある証,위대한 공적을 세운 역전의 사수에게 주어지는 명예로운 증표
吟遊詩人の証,음유시인의 증표
大きな功績を残した歴戦の吟遊詩人に贈られる名誉ある証,위대한 공적을 세운 역전의 음유시인에게 주어지는 명예로운 증표
槍騎兵の証,창기병의 증표
大きな功績を残した歴戦の槍騎兵に贈られる名誉ある証,위대한 공적을 세운 역전의 창기병에게 주어지는 명예로운 증표
錬金術師の証,연금술사의 증표
大きな功績を残した歴戦の錬金術師に贈られる名誉ある証,위대한 공적을 세운 역전의 연금술사에게 주어지는 명예로운 증표
侍の証,사무라이의 증표
大きな功績を残した歴戦の侍に贈られる名誉ある証,위대한 공적을 세운 역전의 사무라이에게 주어지는 명예로운 증표
忍の証,닌자의 증표
大きな功績を残した歴戦の忍に贈られる名誉ある証,위대한 공적을 세운 역전의 닌자에게 주어지는 명예로운 증표
剣聖の証,검성의 증표
大きな功績を残した歴戦の剣聖に贈られる名誉ある証,위대한 공적을 세운 역전의 검성에게 주어지는 명예로운 증표
撃手の証,격수의 증표
大きな功績を残した歴戦の撃手に贈られる名誉ある証,위대한 공적을 세운 역전의 격수에게 주어지는 명예로운 증표
賢者の証,현자의 증표
大きな功績を残した歴戦の賢者に贈られる名誉ある証,위대한 공적을 세운 역전의 현자에게 주어지는 명예로운 증표
